Your, Name, 
Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,1810860427051845756


Experiment #:,0
Rule:,0113424323442
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
3,6,,0.6719999999999999,0.6923076923076923,2.2513567667390584,2.199687794731328,0.0,
4,9,,0.5920000000000001,0.6153846153846154,2.1200385323204087,2.0758692966977272,0.0,
5,12,,0.5840000000000001,0.5384615384615384,2.109955786951417,1.9877733714879842,0.0,
6,8,,0.46399999999999997,0.46153846153846156,1.8437460306049618,1.8230264907128848,0.0,
7,2,,0.41600000000000004,0.3846153846153846,1.7601558942351665,1.7004397181410922,0.0,
8,10,,0.368,0.3076923076923077,1.515102203807783,1.352030101757953,0.0,
9,3,,0.28800000000000003,0.23076923076923073,1.1541236813986258,0.9912642605354289,0.0,
10,5,,0.14400000000000002,0.15384615384615385,0.5946193440950123,0.6193821946787638,0.0,
11,11,,0.12,0.07692307692307687,0.5293608652873644,0.39124356362925566,0.0,
12,4,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,10
Rule:,0211122223444
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.5907775621182338,2.075869296697727,0.0,
1,6,,0.84,0.8461538461538461,2.0280152083875675,2.199687794731328,0.0,
2,7,,0.696,0.7692307692307692,2.121326740001928,2.237397409783102,0.0,
3,2,,0.648,0.6923076923076923,2.0948462213494494,2.199687794731328,0.0,
4,5,,0.504,0.6153846153846154,1.9517539813655809,2.133937566094917,0.0,
5,4,,0.384,0.5384615384615384,1.7077118326133678,1.9877733714879842,0.0,
6,12,,0.376,0.46153846153846156,1.6834810045985267,1.8810947601100747,0.0,
7,3,,0.29600000000000004,0.3846153846153846,1.3238863772389013,1.5465935642949382,0.0,
8,8,,0.17600000000000005,0.3076923076923077,0.924079902550972,1.352030101757953,0.0,
9,9,,0.09599999999999997,0.23076923076923073,0.5340688025176031,0.9912642605354289,0.0,
10,1,,0.07199999999999995,0.15384615384615385,0.3733433210798536,0.6193821946787638,0.0,
11,10,,0.02400000000000002,0.07692307692307687,0.16334554318340233,0.39124356362925566,0.0,
12,11,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,11
Rule:,0211441322342
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,2.033282248494052,2.199687794731328,0.0,
1,8,,0.872,0.8461538461538461,2.221910088093197,2.2954656791802917,0.0,
2,9,,0.792,0.7692307692307692,2.1186423779903016,2.2954656791802917,0.0,
3,5,,0.648,0.6923076923076923,2.063083109811013,2.2577560641285177,0.0,
4,11,,0.624,0.6153846153846154,2.0279199600752205,2.1339375660949167,0.0,
5,1,,0.6,0.5384615384615384,1.9229028923961224,1.9877733714879842,0.0,
6,12,,0.5920000000000001,0.46153846153846156,1.866095828781642,1.669180336866731,0.0,
7,10,,0.544,0.3846153846153846,1.8004911217776591,1.4885252948977485,0.0,
8,6,,0.392,0.3076923076923077,1.5857482848076718,1.352030101757953,0.0,
9,4,,0.272,0.23076923076923073,1.1156405863897432,0.9912642605354289,0.0,
10,7,,0.128,0.15384615384615385,0.5519275534566073,0.6193821946787638,0.0,
11,2,,0.07999999999999996,0.07692307692307687,0.4021791902022729,0.39124356362925566,0.0,
12,3,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,12
Rule:,0243431343433
